country,region,crop,variable,year,value
Belgium,Belgium,Barley,Production,1955,280.5
Belgium,Belgium,Barley,Production,1956,288.2
Belgium,Belgium,Barley,Production,1957,295.7
Belgium,Belgium,Barley,Production,1958,318.1
Belgium,Belgium,Barley,Production,1959,398.0
Belgium,Belgium,Barley,Production,1960,382.4
Belgium,Belgium,Barley,Production,1961,408.7
Belgium,Belgium,Barley,Production,1962,499.3
Belgium,Belgium,Barley,Production,1963,481.6
Belgium,Belgium,Barley,Production,1964,515.6
Belgium,Belgium,Barley,Production,1965,520.2
Belgium,Belgium,Barley,Production,1966,486.0
Belgium,Belgium,Barley,Production,1967,622.6
Belgium,Belgium,Barley,Production,1968,574.4
Belgium,Belgium,Barley,Production,1969,557.4
Belgium,Belgium,Barley,Production,1970,527.3
Belgium,Belgium,Barley,Production,1971,590.4
Belgium,Belgium,Barley,Production,1972,638.9
Belgium,Belgium,Barley,Production,1973,718.0
Belgium,Belgium,Barley,Production,1974,701.4
Belgium,Belgium,Barley,Production,1975,428.2
Belgium,Belgium,Barley,Production,1976,611.6
Belgium,Belgium,Barley,Production,1977,675.6
Belgium,Belgium,Barley,Production,1978,764.9
Belgium,Belgium,Barley,Production,1979,766.7
Belgium,Belgium,Barley,Production,1980,807.1
Belgium,Belgium,Barley,Production,1981,751.9
Belgium,Belgium,Barley,Production,1982,745.1
Belgium,Belgium,Barley,Production,1983,670.2
Belgium,Belgium,Barley,Production,1984,873.5
Belgium,Belgium,Barley,Production,1985,685.4
Belgium,Belgium,Barley,Production,1986,793.1
Belgium,Belgium,Barley,Production,1987,678.1
Belgium,Belgium,Barley,Production,1988,737.8
Belgium,Belgium,Barley,Production,1989,647.0
Belgium,Belgium,Barley,Production,1990,534.4
Belgium,Belgium,Barley,Production,1991,495.0
Belgium,Belgium,Barley,Production,1992,449.6
Belgium,Belgium,Barley,Production,1993,390.6
Belgium,Belgium,Barley,Production,1994,346.2
Belgium,Belgium,Barley,Production,1995,356.6
Belgium,Belgium,Barley,Production,1996,382.4
Belgium,Belgium,Barley,Production,1997,372.5
Belgium,Belgium,Barley,Production,1998,374.5
Belgium,Belgium,Barley,Production,1999,387.6
Belgium,Belgium,Barley,Production,2000,331.07
Belgium,Belgium,Barley,Production,2001,366.13
Belgium,Belgium,Barley,Production,2002,341.11
Belgium,Belgium,Barley,Production,2003,271.53
Belgium,Belgium,Barley,Production,2004,303.38
Belgium,Belgium,Barley,Production,2005,300.55
Belgium,Belgium,Barley,Production,2006,371.57
Belgium,Belgium,Barley,Production,2007,373.19
Belgium,Belgium,Barley,Production,2008,425.81
Belgium,Belgium,Barley,Production,2009,452.07
Belgium,Belgium,Barley,Production,2010,372.1
Belgium,Belgium,Barley,Production,2011,339.26
Belgium,Belgium,Barley,Production,2012,363.6
Belgium,Belgium,Barley,Production,2013,395.8
Belgium,Belgium,Barley,Production,2014,399.04
Belgium,Belgium,Barley,Production,2015,434.65
Belgium,Belgium,Barley,Production,2016,345.71
Belgium,Belgium,Barley,Production,2017,377.59
Belgium,Belgium,Barley,Production,2018,324.12
Belgium,Belgium,Barley,Production,2019,401.06
Belgium,Belgium,Barley,Production,2020,329.47
Belgium,Belgium,Barley,Production,2021,300.07
Belgium,Belgium,Barley,Production,2022,384.34
Belgium,Belgium,Corn,Production,2009,652.12
Belgium,Belgium,Corn,Production,2010,589.78
Belgium,Belgium,Corn,Production,2011,688.75
Belgium,Belgium,Corn,Production,2012,569.82
Belgium,Belgium,Corn,Production,2013,663.26
Belgium,Belgium,Corn,Production,2014,640.96
Belgium,Belgium,Corn,Production,2015,548.72
Belgium,Belgium,Corn,Production,2016,389.05
Belgium,Belgium,Corn,Production,2017,503.92
