country,region,crop,variable,year,value
Belgium,Belgium,Barley,Yield,1955,3.4290953545232274
Belgium,Belgium,Barley,Yield,1956,3.177508269018743
Belgium,Belgium,Barley,Yield,1957,3.4303944315545243
Belgium,Belgium,Barley,Yield,1958,3.3519494204425713
Belgium,Belgium,Barley,Yield,1959,3.6313868613138687
Belgium,Belgium,Barley,Yield,1960,3.6280834914611
Belgium,Belgium,Barley,Yield,1961,3.377685950413223
Belgium,Belgium,Barley,Yield,1962,3.897736143637783
Belgium,Belgium,Barley,Yield,1963,3.5833333333333335
Belgium,Belgium,Barley,Yield,1964,4.021840873634946
Belgium,Belgium,Barley,Yield,1965,3.543596730245232
Belgium,Belgium,Barley,Yield,1966,3.031815346225826
Belgium,Belgium,Barley,Yield,1967,4.05074821080026
Belgium,Belgium,Barley,Yield,1968,3.7395833333333335
Belgium,Belgium,Barley,Yield,1969,3.591494845360825
Belgium,Belgium,Barley,Yield,1970,3.096300645918966
Belgium,Belgium,Barley,Yield,1971,3.941255006675567
Belgium,Belgium,Barley,Yield,1972,4.279303415941058
Belgium,Belgium,Barley,Yield,1973,4.593730006397952
Belgium,Belgium,Barley,Yield,1974,4.679119412941961
Belgium,Belgium,Barley,Yield,1975,3.470016207455429
Belgium,Belgium,Barley,Yield,1976,4.368571428571428
Belgium,Belgium,Barley,Yield,1977,4.453526697429137
Belgium,Belgium,Barley,Yield,1978,4.992819843342037
Belgium,Belgium,Barley,Yield,1979,4.924213230571612
Belgium,Belgium,Barley,Yield,1980,5.285527177472169
Belgium,Belgium,Barley,Yield,1981,4.933727034120735
Belgium,Belgium,Barley,Yield,1982,5.679115853658537
Belgium,Belgium,Barley,Yield,1983,4.832011535688537
Belgium,Belgium,Barley,Yield,1984,6.432253313696612
Belgium,Belgium,Barley,Yield,1985,5.798646362098139
Belgium,Belgium,Barley,Yield,1986,6.200938232994527
Belgium,Belgium,Barley,Yield,1987,5.517493897477624
Belgium,Belgium,Barley,Yield,1988,6.133000831255195
Belgium,Belgium,Barley,Yield,1989,6.007428040854225
Belgium,Belgium,Barley,Yield,1990,5.740064446831364
Belgium,Belgium,Barley,Yield,1991,6.436931079323797
Belgium,Belgium,Barley,Yield,1992,6.192837465564739
Belgium,Belgium,Barley,Yield,1993,5.900302114803625
Belgium,Belgium,Barley,Yield,1994,5.98961937716263
Belgium,Belgium,Barley,Yield,1995,6.640595903165735
Belgium,Belgium,Barley,Yield,1996,7.572277227722772
Belgium,Belgium,Barley,Yield,1997,7.405566600397615
Belgium,Belgium,Barley,Yield,1998,6.986940298507463
Belgium,Belgium,Barley,Yield,1999,7.3688212927756656
Belgium,Belgium,Barley,Yield,2000,6.897291666666667
Belgium,Belgium,Barley,Yield,2001,7.040961538461539
Belgium,Belgium,Barley,Yield,2002,7.415434782608696
Belgium,Belgium,Barley,Yield,2003,6.622682926829268
Belgium,Belgium,Barley,Yield,2004,7.7789743589743585
Belgium,Belgium,Barley,Yield,2005,7.51375
Belgium,Belgium,Barley,Yield,2006,7.5830612244897955
Belgium,Belgium,Barley,Yield,2007,7.616122448979592
Belgium,Belgium,Barley,Yield,2008,7.742
Belgium,Belgium,Barley,Yield,2009,8.387198515769944
Belgium,Belgium,Barley,Yield,2010,9.11339701200098
Belgium,Belgium,Barley,Yield,2011,7.6859990937924785
Belgium,Belgium,Barley,Yield,2012,8.062084257206209
Belgium,Belgium,Barley,Yield,2013,8.480822798371545
Belgium,Belgium,Barley,Yield,2014,8.48660144619311
Belgium,Belgium,Barley,Yield,2015,8.984084332368747
Belgium,Belgium,Barley,Yield,2016,6.236875338264477
Belgium,Belgium,Barley,Yield,2017,8.337160521086332
Belgium,Belgium,Barley,Yield,2018,7.687855787476281
Belgium,Belgium,Barley,Yield,2019,8.57698887938409
Belgium,Belgium,Barley,Yield,2020,7.491359708958619
Belgium,Belgium,Barley,Yield,2021,7.725916230366492
Belgium,Belgium,Corn,Yield,2009,9.776911544227886
Belgium,Belgium,Corn,Yield,2010,8.449570200573065
Belgium,Belgium,Corn,Yield,2011,9.561988060530334
Belgium,Belgium,Corn,Yield,2012,8.479464285714286
Belgium,Belgium,Corn,Yield,2013,8.942429553727923
